Match Number,Round Number,Date,Location,Home Team,Away Team,Result
326,37,21/05/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Fatih Karagümrük,
327,37,21/05/2023 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Besiktas,
328,37,21/05/2023 16:00,Kadir Has Stadium,Kayserispor,Ankaragücü,
329,37,21/05/2023 16:00,New Adana Stadium,Adana Demirspor,Istanbul Basaksehir,
330,37,21/05/2023 16:00,Gaziantep Stadium,Gaziantep,Istanbulspor,
331,37,21/05/2023 16:00,Nef Stadium,Galatasaray,Fenerbahçe,
332,37,21/05/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Giresunspor,
333,37,21/05/2023 16:00,Antalya Stadium,Antalyaspor,Hatayspor,
334,38,28/05/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Kayserispor,
335,38,28/05/2023 16:00,Çotanak Sports Complex,Giresunspor,Antalyaspor,
336,38,28/05/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Ümraniyespor,
337,38,28/05/2023 16:00,New Hatay Stadium,Hatayspor,Galatasaray,
338,38,28/05/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Trabzonspor,
339,38,28/05/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Gaziantep,
340,38,28/05/2023 16:00,Eryaman Stadium,Ankaragücü,Adana Demirspor,
341,38,28/05/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kasimpasa,
342,38,28/05/2023 16:00,Vodafone Park,Besiktas,Konyaspor,
