Match Number,Round Number,Date,Location,Home Team,Away Team,Result
187,19,22/01/2023 15:00,Brianteo,Monza,Sassuolo,
188,19,22/01/2023 15:00,Arechi,Salernitana,Napoli,
189,19,22/01/2023 15:00,Luigi Ferraris,Sampdoria,Udinese,
190,19,22/01/2023 15:00,Alberto Picco,Spezia,Roma,
191,20,29/01/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Sampdoria,
192,20,29/01/2023 15:00,Renato Dall'Ara,Bologna,Spezia,
193,20,29/01/2023 15:00,Giovanni Zini,Cremonese,Inter,
194,20,29/01/2023 15:00,Carlo Castellani,Empoli,Torino,
195,20,29/01/2023 15:00,Juventus Stadium,Juventus,Monza,
196,20,29/01/2023 15:00,Olimpico,Lazio,Fiorentina,
197,20,29/01/2023 15:00,Via del mare,Lecce,Salernitana,
198,20,29/01/2023 15:00,San Siro,Milan,Sassuolo,
199,20,29/01/2023 15:00,Diego Armando Maradona,Napoli,Roma,
200,20,29/01/2023 15:00,Friuli,Udinese,Hellas Verona,
201,21,05/02/2023 15:00,Giovanni Zini,Cremonese,Lecce,
202,21,05/02/2023 15:00,Artemio Franchi,Fiorentina,Bologna,
203,21,05/02/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Lazio,
204,21,05/02/2023 15:00,San Siro,Inter,Milan,
205,21,05/02/2023 15:00,Brianteo,Monza,Sampdoria,
206,21,05/02/2023 15:00,Olimpico,Roma,Empoli,
207,21,05/02/2023 15:00,Arechi,Salernitana,Juventus,
208,21,05/02/2023 15:00,Città del Tricolore,Sassuolo,Atalanta,
209,21,05/02/2023 15:00,Alberto Picco,Spezia,Napoli,
210,21,05/02/2023 15:00,Olimpico Grande Torino,Torino,Udinese,
211,22,12/02/2023 15:00,Renato Dall'Ara,Bologna,Monza,
212,22,12/02/2023 15:00,Carlo Castellani,Empoli,Spezia,
213,22,12/02/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Salernitana,
